Symbol,Name,AtomicMass,Number,Group,Period,Classification
H,Hydrogen,1007,1,1,1,Nonmetal
He,Helium,4002,2,18,1,Noble Gas
Li,Lithium,6941,3,1,2,Alkali Metal
Be,Beryllium,9012,4,2,2,Alkaline Earth Metal
B,Boron,10811,5,13,2,Metalloid
C,Carbon,12011,6,14,2,Nonmetal
N,Nitrogen,14007,7,15,2,Nonmetal
O,Oxygen,15999,8,16,2,Nonmetal
F,Fluorine,18998,9,17,2,Halogen
Ne,Neon,20.18,10,18,2,Noble Gas
Na,Sodium,22.99,11,1,3,Alkali Metal
Mg,Magnesium,24305,12,2,3,Alkaline Earth Metal
Al,Aluminum,26982,13,13,3,Metal
Si,Silicon,28086,14,14,3,Metalloid
P,Phosphorus,30974,15,15,3,Nonmetal
S,Sulfur,32065,16,16,3,Nonmetal
Cl,Chlorine,35453,17,17,3,Halogen
Ar,Argon,39948,18,18,3,Noble Gas
K,Potassium,39098,19,1,4,Alkali Metal
Ca,Calcium,40078,20,2,4,Alkaline Earth Metal
Sc,Scandium,44956,21,3,4,Transition Metal
Ti,Titanium,47867,22,4,4,Transition Metal
V,Vanadium,50942,23,5,4,Transition Metal
Cr,Chromium,51996,24,6,4,Transition Metal
Mn,Manganese,54938,25,7,4,Transition Metal
Fe,Iron,55845,26,8,4,Transition Metal
Co,Cobalt,58933,27,9,4,Transition Metal
Ni,Nickel,58693,28,10,4,Transition Metal
Cu,Copper,63546,29,11,4,Transition Metal
Zn,Zinc,65.38,30,12,4,Transition Metal
Ga,Gallium,69723,31,13,4,Metal
Ge,Germanium,72.64,32,14,4,Metalloid
As,Arsenic,74922,33,15,4,Metalloid
Se,Selenium,78.96,34,16,4,Nonmetal
Br,Bromine,79904,35,17,4,Halogen
Kr,Krypton,83798,36,18,4,Noble Gas
Rb,Rubidium,85468,37,1,5,Alkali Metal
Sr,Strontium,87.62,38,2,5,Alkaline Earth Metal
Y,Yttrium,88906,39,3,5,Transition Metal
Zr,Zirconium,91224,40,4,5,Transition Metal
Nb,Niobium,92906,41,5,5,Transition Metal
Mo,Molybdenum,95.96,42,6,5,Transition Metal
Tc,Technetium,98,43,7,5,Transition Metal
Ru,Ruthenium,101.07,44,8,5,Transition Metal
Rh,Rhodium,102906,45,9,5,Transition Metal
Pd,Palladium,106.42,46,10,5,Transition Metal
Ag,Silver,107868,47,11,5,Transition Metal
Cd,Cadmium,112411,48,12,5,Transition Metal
In,Indium,114818,49,13,5,Metal
Sn,Tin,118.71,50,14,5,Metal
Sb,Antimony,121.76,51,15,5,Metalloid
Te,Tellurium,127.6,52,16,5,Metalloid
I,Iodine,126904,53,17,5,Halogen
Xe,Xenon,131293,54,18,5,Noble Gas
Cs,Cesium,132905,55,1,6,Alkali Metal
Ba,Barium,137327,56,2,6,Alkaline Earth Metal
La,Lanthanum,138905,57,3,6,Lanthanide
Ce,Cerium,140116,58,,6,Lanthanide
Pr,Praseodymium,140908,59,,6,Lanthanide
Nd,Neodymium,144242,60,,6,Lanthanide
Pm,Promethium,145,61,,6,Lanthanide
Sm,Samarium,150.36,62,,6,Lanthanide
Eu,Europium,151964,63,,6,Lanthanide
Gd,Gadolinium,157.25,64,,6,Lanthanide
Tb,Terbium,158925,65,,6,Lanthanide
Dy,Dysprosium,162.5,66,,6,Lanthanide
Ho,Holmium,164.93,67,,6,Lanthanide
Er,Erbium,167259,68,,6,Lanthanide
Tm,Thulium,168934,69,,6,Lanthanide
Yb,Ytterbium,173054,70,,6,Lanthanide
Lu,Lutetium,174967,71,,6,Lanthanide
Hf,Hafnium,178.49,72,4,6,Transition Metal
Ta,Tantalum,180948,73,5,6,Transition Metal
W,Wolfram,183.84,74,6,6,Transition Metal
Re,Rhenium,186207,75,7,6,Transition Metal
Os,Osmium,190.23,76,8,6,Transition Metal
Ir,Iridium,192217,77,9,6,Transition Metal
Pt,Platinum,195084,78,10,6,Transition Metal
Au,Gold,196967,79,11,6,Transition Metal
Hg,Mercury,200.59,80,12,6,Transition Metal
Tl,Thallium,204383,81,13,6,Metal
Pb,Lead,207.2,82,14,6,Metal
Bi,Bismuth,208.98,83,15,6,Metal
Po,Polonium,210,84,16,6,Metalloid
At,Astatine,210,85,17,6,Noble Gas
Rn,Radon,222,86,18,6,Alkali Metal
Fr,Francium,223,87,1,7,Alkaline Earth Metal
Ra,Radium,226,88,2,7,Actinide
Ac,Actinium,227,89,3,7,Actinide
Th,Thorium,232038,90,,7,Actinide
Pa,Protactinium,231036,91,,7,Actinide
U,Uranium,238029,92,,7,Actinide
Np,Neptunium,237,93,,7,Actinide
Pu,Plutonium,244,94,,7,Actinide
Am,Americium,243,95,,7,Actinide
Cm,Curium,247,96,,7,Actinide
Bk,Berkelium,247,97,,7,Actinide
Cf,Californium,251,98,,7,Actinide
Es,Einsteinium,252,99,,7,Actinide
Fm,Fermium,257,100,,7,Actinide
Md,Mendelevium,258,101,,7,Actinide
No,Nobelium,259,102,,7,Actinide
Lr,Lawrencium,262,103,,7,Actinide
Rf,Rutherfordium,261,104,4,7,Transactinide
Db,Dubnium,262,105,5,7,Transactinide
Sg,Seaborgium,266,106,6,7,Transactinide
Bh,Bohrium,264,107,7,7,Transactinide
Hs,Hassium,267,108,8,7,Transactinide
Mt,Meitnerium,268,109,9,7,Transactinide
Ds ,Darmstadtium ,271,110,10,7,Transactinide
Rg ,Roentgenium ,272,111,11,7,Transactinide
Cn ,Copernicium ,285,112,12,7,Transactinide
Nh,Nihonium,284,113,13,7,
Fl,Flerovium,289,114,14,7,Transactinide
Mc,Moscovium,288,115,15,7,
Lv,Livermorium,292,116,16,7,Transactinide
Ts,Tennessine,295,117,17,7,
Og,Oganesson,294,118,18,7,Noble Gas
